Suspicious,Timestamp,Transport_Protocol,Network_Protocol,TTL,SrcAddr,DestAddr,SrcPort,DestPort,SeqNum,AckNum
NO,1604583550.920539,TCP,IP,59,162.159.133.234,192.168.100.85,443,63060,4102995301,1090095706
NO,1604583550.9831803,TCP,IP,128,192.168.100.85,162.159.133.234,63060,443,1090095706,4102995343
NO,1604583550.9882364,TCP,IP,128,192.168.100.85,162.159.133.234,63060,443,1090095706,4102995343
NO,1604583551.0447645,TCP,IP,128,192.168.100.85,74.125.200.188,53382,5228,1362868703,1520949286
NO,1604583551.0496821,TCP,IP,128,192.168.100.85,74.125.200.188,53382,5228,1362868703,1520949286
NO,1604583551.106577,TCP,IP,59,74.125.200.188,192.168.100.85,5228,53382,1520949286,1362868704
NO,1604583551.1124883,UDP,-,-,-,-,49160,27032,-,-
NO,1604583551.1135225,UDP,-,-,-,-,49160,27032,-,-
NO,1604583551.1680713,TCP,IP,59,162.159.133.234,192.168.100.85,443,63060,4102995343,1090095706
NO,1604583551.1739433,TCP,IP,128,192.168.100.85,162.159.133.234,63060,443,1090095706,4102995413
NO,1604583551.1789422,TCP,IP,128,192.168.100.85,162.159.133.234,63060,443,1090095706,4102995413
NO,1604583551.3712022,UDP,-,-,-,-,27032,49160,-,-
NO,1604583552.4303744,TCP,IP,59,162.159.133.234,192.168.100.85,443,63060,4102995413,1090095706
NO,1604583552.4364045,TCP,IP,128,192.168.100.85,162.159.133.234,63060,443,1090095706,4102995496
NO,1604583552.4434197,TCP,IP,128,192.168.100.85,162.159.133.234,63060,443,1090095706,4102995496
NO,1604583552.633449,UDP,DNS,-,-,-,49870,53,-,-
NO,1604583552.6344755,UDP,DNS,-,-,-,49870,53,-,-
NO,1604583552.6344755,UDP,-,-,-,-,137,137,-,-
NO,1604583552.635477,UDP,-,-,-,-,137,137,-,-
NO,1604583552.635477,UDP,DNS,-,-,-,5353,5353,-,-
NO,1604583552.6364732,UDP,DNS,-,-,-,5353,5353,-,-
NO,1604583552.6364732,UDP,DNS,-,-,-,5353,5353,-,-
NO,1604583552.6374419,UDP,DNS,-,-,-,5353,5353,-,-
NO,1604583552.6374419,UDP,-,-,-,-,50629,5355,-,-
NO,1604583552.6384766,UDP,-,-,-,-,50629,5355,-,-
NO,1604583552.6384766,UDP,-,-,-,-,50629,5355,-,-
NO,1604583552.6384766,UDP,-,-,-,-,50629,5355,-,-
NO,1604583552.6394715,UDP,-,-,-,-,9993,9993,-,-
NO,1604583552.6394715,UDP,-,-,-,-,9993,9993,-,-
NO,1604583552.6404746,UDP,-,-,-,-,44115,46780,-,-
NO,1604583552.6404746,UDP,-,-,-,-,44115,46780,-,-
NO,1604583552.6414733,UDP,-,-,-,-,9993,9993,-,-
NO,1604583552.6414733,UDP,-,-,-,-,9993,9993,-,-
NO,1604583552.642475,UDP,-,-,-,-,9993,9993,-,-
NO,1604583552.642475,UDP,-,-,-,-,9993,9993,-,-
NO,1604583552.642475,UDP,-,-,-,-,9993,9993,-,-
NO,1604583552.6434648,UDP,-,-,-,-,9993,9993,-,-
NO,1604583552.6434648,UDP,-,-,-,-,44115,46780,-,-
NO,1604583552.6444619,UDP,-,-,-,-,44115,46780,-,-
NO,1604583552.6444619,UDP,-,-,-,-,9993,9993,-,-
NO,1604583552.6454837,UDP,-,-,-,-,9993,9993,-,-
NO,1604583552.6454837,UDP,-,-,-,-,9993,9993,-,-
NO,1604583552.646483,UDP,-,-,-,-,9993,9993,-,-
NO,1604583552.646483,UDP,-,-,-,-,44115,46780,-,-
NO,1604583552.6474814,UDP,-,-,-,-,44115,46780,-,-
NO,1604583552.648541,UDP,-,-,-,-,9993,9993,-,-
NO,1604583552.648541,UDP,-,-,-,-,9993,9993,-,-
NO,1604583552.6494868,UDP,DNS,-,-,-,53,49870,-,-
NO,1604583552.651483,TCP,IP,128,192.168.100.85,13.67.9.5,53386,443,2096868429,0
NO,1604583552.656485,TCP,IP,128,192.168.100.85,13.67.9.5,53386,443,2096868429,0
NO,1604583552.7111557,TCP,IP,112,13.67.9.5,192.168.100.85,443,53386,3887250604,2096868430
NO,1604583552.7161937,TCP,IP,128,192.168.100.85,13.67.9.5,53386,443,2096868430,3887250605
NO,1604583552.721197,TCP,IP,128,192.168.100.85,13.67.9.5,53386,443,2096868430,3887250605
NO,1604583552.726197,TCP,IP,128,192.168.100.85,13.67.9.5,53386,443,2096868430,3887250605
NO,1604583552.735164,TCP,IP,128,192.168.100.85,13.67.9.5,53386,443,2096868430,3887250605
NO,1604583552.804673,TCP,IP,112,13.67.9.5,192.168.100.85,443,53386,3887250605,2096868947
NO,1604583552.8127232,TCP,IP,112,13.67.9.5,192.168.100.85,443,53386,3887252017,2096868947
NO,1604583552.8177438,TCP,IP,112,13.67.9.5,192.168.100.85,443,53386,3887253429,2096868947
NO,1604583552.8247285,TCP,IP,128,192.168.100.85,13.67.9.5,53386,443,2096868947,3887254706
NO,1604583552.8297222,TCP,IP,128,192.168.100.85,13.67.9.5,53386,443,2096868947,3887254706
NO,1604583552.834721,TCP,IP,128,192.168.100.85,13.67.9.5,53386,443,2096868947,3887254706
NO,1604583552.8417284,TCP,IP,128,192.168.100.85,13.67.9.5,53386,443,2096868947,3887254706
NO,1604583552.8487198,TCP,IP,112,13.67.9.5,192.168.100.85,443,53386,3887254706,2096869073
NO,1604583552.8546894,TCP,IP,128,192.168.100.85,13.67.9.5,53386,443,2096869073,3887254757
NO,1604583552.8607197,TCP,IP,128,192.168.100.85,13.67.9.5,53386,443,2096869073,3887254757
NO,1604583552.8676789,UDP,-,-,-,-,46780,44115,-,-
NO,1604583552.8686879,UDP,-,-,-,-,9993,9993,-,-
NO,1604583552.8686879,UDP,-,-,-,-,9993,9993,-,-
NO,1604583552.8696873,UDP,-,-,-,-,44115,9993,-,-
NO,1604583552.8696873,UDP,-,-,-,-,44115,9993,-,-
NO,1604583552.8707197,UDP,-,-,-,-,44116,9993,-,-
NO,1604583552.8707197,UDP,-,-,-,-,44116,9993,-,-
NO,1604583552.8707197,UDP,-,-,-,-,9993,9993,-,-
NO,1604583552.8717196,UDP,-,-,-,-,9993,9993,-,-
NO,1604583552.8717196,UDP,-,-,-,-,44115,9993,-,-
NO,1604583552.8727198,UDP,-,-,-,-,44115,9993,-,-
NO,1604583552.8727198,UDP,-,-,-,-,44116,9993,-,-
NO,1604583552.8737197,UDP,-,-,-,-,44116,9993,-,-
NO,1604583552.8737197,UDP,-,-,-,-,9993,9993,-,-
NO,1604583552.8737197,UDP,-,-,-,-,9993,9993,-,-
NO,1604583552.8747222,UDP,-,-,-,-,44115,9993,-,-
NO,1604583552.8747222,UDP,-,-,-,-,44115,9993,-,-
NO,1604583552.875721,UDP,-,-,-,-,44116,9993,-,-
NO,1604583552.875721,UDP,-,-,-,-,44116,9993,-,-
NO,1604583552.875721,UDP,-,-,-,-,9993,9993,-,-
NO,1604583552.8767197,UDP,-,-,-,-,9993,9993,-,-
NO,1604583552.8767197,UDP,-,-,-,-,44115,9993,-,-
NO,1604583552.8777206,UDP,-,-,-,-,44115,9993,-,-
NO,1604583552.8777206,UDP,-,-,-,-,44116,9993,-,-
NO,1604583552.87872,UDP,-,-,-,-,44116,9993,-,-
NO,1604583552.87872,UDP,-,-,-,-,46780,44115,-,-
NO,1604583552.87872,UDP,-,-,-,-,46780,44115,-,-
NO,1604583552.8797219,UDP,-,-,-,-,9993,9993,-,-
NO,1604583552.8797219,UDP,-,-,-,-,9993,9993,-,-
NO,1604583552.8807197,UDP,-,-,-,-,9993,9993,-,-
NO,1604583552.9310696,TCP,IP,112,13.67.9.5,192.168.100.85,443,53386,3887254757,2096869996
NO,1604583552.9420707,UDP,-,-,-,-,9993,44115,-,-
NO,1604583552.994746,TCP,IP,128,192.168.100.85,13.67.9.5,53386,443,2096869996,3887255142
NO,1604583552.9997818,TCP,IP,128,192.168.100.85,13.67.9.5,53386,443,2096869996,3887255142
NO,1604583553.0047815,TCP,IP,59,162.159.133.234,192.168.100.85,443,63060,4102995496,1090095706
NO,1604583553.0723963,TCP,IP,128,192.168.100.85,162.159.133.234,63060,443,1090095706,4102995708
NO,1604583553.0773907,TCP,IP,128,192.168.100.85,162.159.133.234,63060,443,1090095706,4102995708
NO,1604583553.0824244,UDP,-,-,-,-,9993,44116,-,-
NO,1604583553.0824244,UDP,-,-,-,-,44116,9993,-,-
NO,1604583553.0834253,UDP,-,-,-,-,44116,9993,-,-
NO,1604583553.0834253,UDP,-,-,-,-,50629,5355,-,-
NO,1604583553.0844185,UDP,-,-,-,-,50629,5355,-,-
NO,1604583553.0853906,UDP,-,-,-,-,44115,46780,-,-
NO,1604583553.0853906,UDP,-,-,-,-,44115,46780,-,-
NO,1604583553.0853906,UDP,-,-,-,-,44116,9993,-,-
NO,1604583553.0864272,UDP,-,-,-,-,44116,9993,-,-
NO,1604583553.0864272,UDP,-,-,-,-,50629,5355,-,-
NO,1604583553.087425,UDP,-,-,-,-,50629,5355,-,-
NO,1604583553.087425,UDP,-,-,-,-,44116,9993,-,-
NO,1604583553.0884244,UDP,-,-,-,-,44116,9993,-,-
NO,1604583553.0884244,UDP,-,-,-,-,44115,46780,-,-
NO,1604583553.0894246,UDP,-,-,-,-,44115,46780,-,-
NO,1604583553.0894246,UDP,-,-,-,-,44116,9993,-,-
NO,1604583553.0894246,UDP,-,-,-,-,44116,9993,-,-
NO,1604583553.150725,UDP,-,-,-,-,9993,44116,-,-
NO,1604583553.1517339,UDP,-,-,-,-,9993,44115,-,-
NO,1604583553.1517339,UDP,-,-,-,-,9993,23308,-,-
NO,1604583553.1517339,UDP,-,-,-,-,9993,23308,-,-
NO,1604583553.1527338,UDP,-,-,-,-,9993,44115,-,-
NO,1604583553.1527338,UDP,-,-,-,-,44115,23308,-,-
NO,1604583553.1537335,UDP,-,-,-,-,44115,23308,-,-
NO,1604583553.1537335,UDP,-,-,-,-,44116,23308,-,-
NO,1604583553.1537335,UDP,-,-,-,-,44116,23308,-,-
NO,1604583553.1547337,UDP,-,-,-,-,9993,9993,-,-
NO,1604583553.1547337,UDP,-,-,-,-,9993,9993,-,-
NO,1604583553.1557338,UDP,-,-,-,-,44115,9993,-,-
NO,1604583553.1557338,UDP,-,-,-,-,44115,9993,-,-
NO,1604583553.1557338,UDP,-,-,-,-,44116,9993,-,-
NO,1604583553.1567333,UDP,-,-,-,-,44116,9993,-,-
NO,1604583553.1567333,UDP,-,-,-,-,9993,44115,-,-
NO,1604583553.1577349,UDP,-,-,-,-,9993,9993,-,-
NO,1604583553.1577349,UDP,-,-,-,-,9993,9993,-,-
NO,1604583553.1577349,UDP,-,-,-,-,44115,9993,-,-
NO,1604583553.1587334,UDP,-,-,-,-,44115,9993,-,-
NO,1604583553.1587334,UDP,-,-,-,-,44116,9993,-,-
NO,1604583553.1597335,UDP,-,-,-,-,44116,9993,-,-
NO,1604583553.1597335,UDP,-,-,-,-,9993,23307,-,-
NO,1604583553.1597335,UDP,-,-,-,-,9993,23307,-,-
NO,1604583553.1607335,UDP,-,-,-,-,44115,23307,-,-
NO,1604583553.1607335,UDP,-,-,-,-,44115,23307,-,-
NO,1604583553.1607335,UDP,-,-,-,-,44116,23307,-,-
NO,1604583553.1617334,UDP,-,-,-,-,44116,23307,-,-
NO,1604583553.1617334,UDP,-,-,-,-,9993,23307,-,-
NO,1604583553.1627338,UDP,-,-,-,-,9993,23307,-,-
NO,1604583553.1627338,UDP,-,-,-,-,44115,23307,-,-
NO,1604583553.1627338,UDP,-,-,-,-,44115,23307,-,-
NO,1604583553.1637335,UDP,-,-,-,-,44116,23307,-,-
NO,1604583553.1637335,UDP,-,-,-,-,44116,23307,-,-
NO,1604583553.1647336,UDP,-,-,-,-,9993,23308,-,-
NO,1604583553.1647336,UDP,-,-,-,-,9993,23308,-,-
NO,1604583553.1647336,UDP,-,-,-,-,44115,23308,-,-
NO,1604583553.1657336,UDP,-,-,-,-,44115,23308,-,-
NO,1604583553.1657336,UDP,-,-,-,-,44116,23308,-,-
NO,1604583553.1667335,UDP,-,-,-,-,44116,23308,-,-
NO,1604583553.1667335,UDP,-,-,-,-,9993,23308,-,-
NO,1604583553.1667335,UDP,-,-,-,-,9993,23308,-,-
NO,1604583553.1677344,UDP,-,-,-,-,44115,23308,-,-
NO,1604583553.1677344,UDP,-,-,-,-,44115,23308,-,-
NO,1604583553.1687336,UDP,-,-,-,-,44116,23308,-,-
NO,1604583553.1687336,UDP,-,-,-,-,44116,23308,-,-
NO,1604583553.1687336,UDP,-,-,-,-,44115,9993,-,-
NO,1604583553.169734,UDP,-,-,-,-,44115,9993,-,-
NO,1604583553.169734,UDP,-,-,-,-,9993,9993,-,-
NO,1604583553.2283618,UDP,-,-,-,-,9993,44116,-,-
NO,1604583553.2293556,UDP,-,-,-,-,9993,44116,-,-
NO,1604583553.2293556,UDP,-,-,-,-,9993,44116,-,-
NO,1604583553.2293556,UDP,-,-,-,-,44116,23307,-,-
NO,1604583553.2303915,UDP,-,-,-,-,44116,23307,-,-
NO,1604583553.2303915,UDP,-,-,-,-,44116,23307,-,-
NO,1604583553.23139,UDP,-,-,-,-,44116,23307,-,-
NO,-,-,-,-,-,-,-,-,-,-
NO,-,-,-,-,-,-,-,-,-,-
NO,1604583553.3517532,UDP,-,-,-,-,46780,44115,-,-
NO,1604583553.3527966,UDP,-,-,-,-,46780,44115,-,-
NO,1604583553.4144995,UDP,-,-,-,-,9993,44116,-,-
NO,1604583553.415366,UDP,-,-,-,-,9993,44116,-,-
NO,1604583553.415366,UDP,-,-,-,-,137,137,-,-
NO,1604583553.4163764,UDP,-,-,-,-,137,137,-,-
NO,1604583553.4163764,UDP,-,-,-,-,9993,9993,-,-
NO,1604583553.417382,UDP,-,-,-,-,9993,9993,-,-
NO,1604583553.417382,UDP,-,-,-,-,9993,9993,-,-
NO,1604583553.4184005,UDP,-,-,-,-,9993,9993,-,-
NO,1604583553.664806,UDP,-,-,-,-,44115,9993,-,-
NO,1604583553.664806,UDP,-,-,-,-,44115,9993,-,-
NO,1604583553.6658616,UDP,DNS,-,-,-,5353,5353,-,-
NO,1604583553.6658616,UDP,DNS,-,-,-,5353,5353,-,-
NO,1604583553.6668625,UDP,-,-,-,-,44115,9993,-,-
NO,1604583553.6668625,UDP,-,-,-,-,44115,9993,-,-
NO,1604583553.6678612,UDP,DNS,-,-,-,5353,5353,-,-
NO,1604583553.6678612,UDP,DNS,-,-,-,5353,5353,-,-
NO,1604583553.787867,UDP,-,-,-,-,9993,9993,-,-
NO,1604583553.7888353,UDP,-,-,-,-,9993,9993,-,-
NO,1604583554.1611006,UDP,-,-,-,-,137,137,-,-
NO,1604583554.162117,UDP,-,-,-,-,137,137,-,-
NO,1604583554.162117,UDP,-,-,-,-,44115,9993,-,-
NO,1604583554.1631012,UDP,-,-,-,-,44115,9993,-,-
NO,1604583554.1631012,UDP,-,-,-,-,44115,9993,-,-
NO,1604583554.1641011,UDP,-,-,-,-,44115,9993,-,-
NO,1604583554.2833455,UDP,-,-,-,-,50630,1900,-,-
NO,1604583554.2833455,UDP,-,-,-,-,50630,1900,-,-
NO,1604583554.6563687,TCP,IP,59,162.159.133.234,192.168.100.85,443,63060,4102995708,1090095706
NO,1604583554.6623747,TCP,IP,128,192.168.100.85,162.159.133.234,63060,443,1090095706,4102995785
NO,1604583554.666373,TCP,IP,128,192.168.100.85,162.159.133.234,63060,443,1090095706,4102995785
NO,1604583555.4163177,TCP,IP,218,52.25.12.91,192.168.100.85,443,65241,3493919638,4148851234
NO,1604583555.4783792,TCP,IP,128,192.168.100.85,111.221.29.254,53387,443,50764806,0
NO,1604583555.4833684,TCP,IP,128,192.168.100.85,111.221.29.254,53387,443,50764806,0
NO,1604583555.4883683,TCP,IP,128,192.168.100.85,52.25.12.91,65241,443,4148851234,3493919701
NO,1604583555.4933684,TCP,IP,128,192.168.100.85,52.25.12.91,65241,443,4148851234,3493919701
NO,1604583555.556808,TCP,IP,107,111.221.29.254,192.168.100.85,443,53387,954149937,50764807
NO,1604583555.562789,TCP,IP,128,192.168.100.85,111.221.29.254,53387,443,50764807,954149938
